order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,payment_sequential,payment_type,payment_installments,payment_value
36fc3a00019db8f893021f9508f695c8,5e23eb6b579778f0fc5450414008f4cb,delivered,2017-05-01 16:35:12,2017-05-01 16:50:13,2017-05-02 16:18:22,2017-05-16 04:58:29,2017-06-06 00:00:00,1.0,credit_card,6.0,184.91
7936a41bf78b669273c75ddc50ab7e07,bc622ba5c1a6dd7bbda84d044b747b18,delivered,2018-02-12 19:18:16,2018-02-14 15:15:33,2018-02-15 18:17:55,2018-02-21 23:42:20,2018-03-09 00:00:00,1.0,credit_card,3.0,266.17
e2e9a4fe163a44a86fe306af8a9e2bcf,9aacda4060fd4835ee6541958cb9a1f7,delivered,2018-02-02 23:00:48,2018-02-02 23:10:48,2018-02-08 11:16:25,2018-02-16 00:09:10,2018-02-26 00:00:00,1.0,credit_card,7.0,110.6
721fa08ba1208bce0d5642af802d2586,608fa8d834caa1d24ef0fc83a3bd9617,delivered,2018-05-01 15:28:31,2018-05-01 15:53:46,2018-05-10 14:54:00,2018-05-18 12:37:26,2018-05-22 00:00:00,1.0,credit_card,1.0,35.72
aeae13bf1962c0a747dae0f007b2b313,fb0a5f198af9146879712f3fc2afb788,delivered,2018-08-04 17:16:20,2018-08-04 17:25:18,2018-08-07 12:25:00,2018-08-10 17:51:30,2018-08-14 00:00:00,1.0,credit_card,3.0,142.56
558266bfba11bf9a23f7634ee0657f43,fcd3d27da039898ed57693dbbe9d99ce,delivered,2018-08-13 19:38:49,2018-08-13 19:50:15,2018-08-14 13:09:00,2018-08-16 20:27:40,2018-08-17 00:00:00,1.0,credit_card,1.0,46.48
c61e31d4cd0672fe89449ab560602519,a1937e26edb8cc57b903979f75291e8f,delivered,2017-09-09 21:11:06,2017-09-09 21:30:19,2017-09-13 14:20:07,2017-09-25 18:06:59,2017-10-16 00:00:00,1.0,credit_card,5.0,62.01
abab6e4d0ebbe62f0469fc4800cd6e0d,889b4cac5719e9240c611a26cc31583f,delivered,2017-06-28 15:04:13,2017-06-28 15:23:41,2017-06-29 17:33:56,2017-07-05 18:52:01,2017-07-11 00:00:00,1.0,credit_card,1.0,74.03
8de235cda79ec1764ed1c31381cb2e4b,71c7e5feaccea207f79968ff7faa09a8,delivered,2017-08-03 09:56:14,2017-08-03 10:10:17,2017-08-08 18:11:40,2017-08-28 11:47:54,2017-08-29 00:00:00,1.0,credit_card,2.0,72.45
3c53e9578b571a4df6397b338ae76ae2,e326c9d1b7d81a887e93483918119f9d,delivered,2018-06-06 12:17:06,2018-06-06 19:54:41,2018-06-08 14:36:00,2018-06-12 22:48:50,2018-07-03 00:00:00,1.0,boleto,1.0,35.38
61ab6abf759291229bc1d2ad09a7c3f1,86b794305d0f1621562027fb00fd32c9,delivered,2017-11-17 13:10:58,2017-11-17 13:55:24,2017-11-21 22:09:46,2017-12-01 17:46:52,2017-12-13 00:00:00,1.0,credit_card,2.0,150.08
53f8daea6e8c8d787695830a448a3e67,09964655437e26066ed5c95ef397971a,delivered,2017-12-02 22:58:07,2017-12-03 02:43:35,2017-12-08 15:33:57,2017-12-29 19:18:08,2017-12-28 00:00:00,1.0,credit_card,10.0,216.14
12dd6fe47b1a7c9e5742662223880dcc,95a911adbd9c6dee5b6ba9f764678fa3,delivered,2018-01-24 14:36:59,2018-01-25 14:30:21,2018-01-26 21:09:10,2018-02-07 17:28:42,2018-03-01 00:00:00,1.0,credit_card,8.0,323.54
8d47ca771c5f1f48f545ecf4a7c85f82,fc056cb6f79dbf7ab1e6ea6ef66f7837,delivered,2017-08-08 21:12:42,2017-08-08 21:25:20,2017-08-11 18:32:28,2017-08-22 20:06:54,2017-09-01 00:00:00,1.0,credit_card,4.0,40.0
25d0455ca29c6f58e491a90065954af0,2835fc229807133f646ae4245e5e6150,delivered,2017-12-25 23:23:06,2017-12-27 04:07:51,2017-12-27 21:59:18,2018-01-17 18:43:22,2018-01-15 00:00:00,1.0,boleto,1.0,194.55
9d6f15f95d01e79bd1349cc208361f09,8ebbeb09e94d1e789142983f73faa9cd,delivered,2018-02-12 16:07:34,2018-02-12 16:27:39,2018-02-14 20:04:16,2018-02-15 19:16:54,2018-02-26 00:00:00,1.0,credit_card,2.0,42.78
1b36920ded6f3aa566e53f04957af0e7,9ec979fd2f55c5949806b0cefd2a5e14,delivered,2018-08-06 10:37:09,2018-08-06 10:50:22,2018-08-06 14:28:00,2018-08-10 13:18:31,2018-08-16 00:00:00,2.0,credit_card,1.0,51.17
c8ea8027c7ca4ff71aed28e256d49ecb,2c2f6dbfb1f1ca49d15ec9beb3de5107,delivered,2018-03-08 23:34:29,2018-03-09 01:20:30,2018-03-09 20:36:37,2018-03-11 19:02:57,2018-03-21 00:00:00,1.0,credit_card,1.0,47.88
4edca0186e467f58fe99ab648f604ce8,1d06482d82c32c8752f4decbbffe7623,delivered,2018-03-14 15:55:57,2018-03-14 16:10:39,2018-03-20 00:02:52,2018-04-23 10:41:24,2018-04-16 00:00:00,1.0,voucher,1.0,128.86
ec1eeceac0fd882558b0f3976149e64d,c8c8685c81910413f6244ab21a3a02de,delivered,2018-03-31 10:27:16,2018-03-31 10:48:01,2018-04-04 00:43:45,2018-04-14 11:06:50,2018-04-27 00:00:00,1.0,credit_card,4.0,453.92
b130c592bed51534facb262c697f7ccd,ef2050fb05feec229142f1250ece437e,delivered,2017-09-23 18:38:01,2017-09-24 18:45:35,2017-09-28 19:33:33,2017-10-01 14:29:01,2017-10-19 00:00:00,1.0,credit_card,1.0,124.5
878d7b205a8f5eb546d03baa3404fb4c,d61138db5bdc5abf1775b4420cf6682c,delivered,2017-09-10 13:07:21,2017-09-10 13:23:55,2017-09-11 21:23:06,2017-09-15 21:52:52,2017-10-02 00:00:00,1.0,credit_card,4.0,54.27
5f126df05a309c7dfe7ab136cb03ae08,5c74e38cb38fa7319244280d172667eb,delivered,2018-07-20 16:24:27,2018-07-20 16:35:21,2018-07-27 14:47:00,2018-08-03 13:31:48,2018-08-17 00:00:00,1.0,credit_card,1.0,170.0
43bb790a56513bae53070529a38ba67a,d091a6afbe915b09703ec9ae10125434,delivered,2018-05-01 14:13:27,2018-05-01 14:33:54,2018-05-04 11:54:00,2018-05-15 18:52:58,2018-05-23 00:00:00,1.0,credit_card,4.0,44.38
753f7035904112b0a9a575ed27f1da2c,b225ce9eb2ef15e3ff6aaff06974c491,delivered,2018-08-21 10:29:19,2018-08-23 02:50:19,2018-08-24 12:31:00,2018-08-29 15:36:39,2018-09-10 00:00:00,1.0,boleto,1.0,383.03
03a479456d2571485ebce285eef65f61,8f37df550dae5039e7ec425e50d733c7,delivered,2017-03-03 20:07:07,2017-03-07 04:23:24,2017-03-08 11:24:32,2017-03-14 09:42:07,2017-03-31 00:00:00,1.0,boleto,1.0,129.87
d453150b728f3361801ca4a588bf9a86,4601751d1f69b3849c08916fd2f6b356,delivered,2018-07-19 19:09:05,2018-07-19 19:23:12,2018-07-23 14:11:00,2018-07-24 21:12:48,2018-08-01 00:00:00,1.0,credit_card,1.0,333.79
d95236c2780d744b3bd884f327590d14,b8e481a0db2593829469c8536e52426b,delivered,2017-08-08 16:39:19,2017-08-08 16:55:11,2017-08-10 19:54:36,2017-08-19 12:21:33,2017-09-04 00:00:00,1.0,credit_card,1.0,146.68
00482f2670787292280e0a8153d82467,baa4ed05f22ffb6c4a41b71b699a492c,delivered,2017-02-13 16:18:07,2017-02-14 03:42:56,2017-02-14 08:32:53,2017-02-15 11:35:56,2017-03-10 00:00:00,1.0,boleto,1.0,18.56
739554bca7c0f1d20cf28779b6e37aa4,77455d55caf7492ef02147a2bd543b2a,delivered,2018-07-30 17:47:56,2018-07-30 18:30:49,2018-08-01 09:28:00,2018-08-06 16:14:27,2018-08-03 00:00:00,1.0,credit_card,1.0,98.37
4daa7a4d91386678160a5f646293be29,073cb4e6d4c56f02630968213bbe083b,delivered,2018-07-13 18:16:24,2018-07-14 15:55:13,2018-07-16 11:35:00,2018-07-24 17:40:50,2018-08-13 00:00:00,1.0,voucher,1.0,108.42
b804f2f3be682c81a8600da13d96951b,04bb4cf0fe0618ca7a2abb353f333fb5,delivered,2018-07-24 15:37:30,2018-07-24 15:50:16,2018-07-25 11:24:00,2018-07-30 16:26:43,2018-08-21 00:00:00,1.0,credit_card,1.0,104.39
d64c8c262f2ffd8170c87e4d7e87d62b,d9dd833159c2e3f13967618121113bca,delivered,2018-01-19 17:26:37,2018-01-19 17:42:47,2018-01-22 19:54:39,2018-01-29 13:13:31,2018-02-16 00:00:00,1.0,credit_card,2.0,29.6
45881bf836d74c8e321eb6467c8eef47,da88831d5e0390c2791ab38acd5ca5e7,delivered,2018-02-10 09:41:24,2018-02-10 09:55:29,2018-02-19 09:35:06,2018-02-28 21:34:09,2018-03-14 00:00:00,1.0,credit_card,8.0,152.77
5bf19c7e8991698d4f0f3430da7e57a6,f980a49c5ca07a32a7958a75b6d190d0,delivered,2018-07-17 02:07:26,2018-07-18 02:05:09,2018-07-20 13:21:00,2018-07-24 16:17:37,2018-08-02 00:00:00,1.0,credit_card,2.0,133.84
79c243f8bca755a9f830a8ad0dc780ad,bddd41005dd16b3607ae7fae6c654ac3,delivered,2017-04-16 10:13:10,2017-04-16 10:25:09,2017-04-19 11:45:32,2017-05-19 17:19:28,2017-05-19 00:00:00,1.0,credit_card,2.0,321.54
2d3bc1f6ed458a137c51adc3cab7a488,e620a9a4cdf12ab1e817c17496e9c5d7,delivered,2018-08-06 09:21:25,2018-08-06 09:35:13,2018-08-06 12:32:00,2018-08-10 17:18:42,2018-08-20 00:00:00,1.0,credit_card,6.0,1139.17
