seller_id,seller_zip_code_prefix,seller_city,seller_state
f8db351d8c4c4c22c6835c19a46f01b0,13324,salto,SP
42bde9fef835393bb8a8849cb6b7f245,71551,brasilia,DF
63bc58679c44e8a998792119fd7ad23e,5595,sao paulo,SP
d8d9567d0bfb0bc7eb845a205ba42657,3688,sao paulo,SP
a11a0e0ca67423425691db355cff69b0,13330,indaiatuba,SP
1d2732ef8321502ee8488e8bed1ab8cd,20031,rio de janeiro,RJ
66fd84ee7528c0c0de85d0f44a73d5ab,98975,campina das missoes,RS
7e79d65b5c6f1f544b7daea036acf720,9572,sao caetano do sul,SP
10089e9f2fd0c668a8fd4e52e1698888,15061,sao jose do rio preto,SP
23a0ffca143a15b9b5bbdb7d552f626a,13520,sao pedro,SP
8b87cd0d43d49b9bdf40f56229364d59,4111,sao paulo,SP
9b013e03b2ab786505a1d3b5c0756754,11450,vicente de carvalho,SP
95f83f51203c626648c875dd41874c7f,37564,borda da mata,MG
e560e4022d8f7aebf155db95946c5c0f,31110,belo horizonte,MG
e70053bf73d1b5863932e53a9fa47496,5059,sao paulo,SP
58c851d1a3c7cd3da329eb59453fed44,13504,rio claro,SP
8fec2e460530482132c436cfb5439925,18500,laranjal paulista,SP
718539d38d07dd351c76db862760e2e2,13088,campinas,SP
431050a06a317f2b38168dec3dcd2b46,2475,sao paulo,SP
056b4ada5bbc2c50cc7842547dda6b51,26379,queimados,RJ
4003520d80d0bad1d5623f7aa3c63cda,20520,rio de janeiro,RJ
3bdff180c7e1f6551a643b99c265a120,4811,sao paulo,SP
9535a841eecebed61a9fb1ac1cbb5597,1208,sao paulo,SP
8160255418d5aaa7dbdc9f4c64ebda44,14940,ibitinga,SP
808d4348b916efa08e766ebad39f61eb,2336,sao paulo,SP
c6381d2d013342748761e906d45aff76,93180,portao,RS
33cbda8716511e27e556dff9d8418bf2,89052,blumenau,SC
17ca9b9e9b9ef8fdb529001b49ebb50f,32677,betim,MG
bb2afe2061d53c6968aa0cffa233a8ec,4307,sao paulo,SP
9d5604a1f112324ad6b2aa552122e0fb,88075,florianopolis,SP
e3a386fc36e22064434e1fa256f6a9fa,13165,engenheiro coelho,SP
4d6fb82c629c7a5028bfd973c07b05e0,31525,belo horizonte,MG
d58d521f3789def2e7a22715e0badd93,3643,sao paulo,SP
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP
ae9690c6e8fee182c28c9ff8e11ca52c,4361,sao paulo,SP
55c96925041a14097b6a7825554f4ad5,2122,sao paulo,SP
55a5b51f93f2b70ea513f5a047b0262a,36301,sao joao del rei,MG
05ff92fedb5be47920fea08e501238b9,98803,santo angelo,RS
417a1e6c7321084d2a0ae0d023cfad93,95885,imigrante,RS
4e42581f08e8cfc7c090f930bac4552a,13660,portoferreira,SP
1acde099eb406aa220b1169b188b42da,2532,sao paulo,SP
73a63f72308aa20a46f4b1632018f196,82510,curitiba,PR
6cf476a4ca74498db55cbccdaa9dcfb6,2873,sao paulo,SP
56f413900b5166ab4d730e9ac0b12cb0,18076,sorocaba,SP
a5ff20ff766e7f50bd5066f33da14413,5522,sao paulo,SP
0f80a40c312b2472dca482cf50f5186f,18681,lencois paulista,SP
d6cd01c59123df02fc226eadbadb5f89,1207,sao paulo,SP
1660ad786c27fd935378b6192a90b417,9891,sao bernardo do campo,SP
553a440137d6e0cf776aee0bb83ac9f5,13481,limeira,SP
dd88d13bea9e4c2bf47daf224f8141e5,95900,lajeado,RS
668bf321538e5072858eaef6087ce027,83323,pinhais,PR
bba74270a87732727b5a3b4fd9ac1c39,32604,betim,MG
7f02656561b680def9986c0795a8a080,1417,sao paulo,SP
edd066cd02126d7800f9b66e980e9931,70070,brasilia,DF
5058e8c1e82653974541e83690655b4a,8583,itaquaquecetuba,SP
6a38087bc8ad4f89ff453561005f6dea,75123,anapolis,GO
f419677537694f0462a91990df6ca44f,9750,sao bernardo do campo,SP
26f6b7ab07be3e9e69ce82a6552efc19,21070,rio de janeiro,RJ
15aac934c58d886785ac1b17953ea898,29480,muqui,ES
271b8923c6a549e02d3c9fd1f8c0422b,11704,praia grande,SP
8a130737016f838139d31878787a39c9,3187,sao paulo,SP
7dc8c42cc750eeafea6c85712ffee9bf,5424,sao paulo,SP
adbe70ab2c97442046d393988c8d1d27,9321,maua,SP
781a66c0d89e30814d49fe8b5e14cd07,13064,campinas,SP
f3c38ab652836d21de61fb8314b69182,1206,sao paulo,SP
1dfe5347016252a7884b694d4f10f5c4,14940,ibitinga,SP
485452467ff670447e84a8370c3fc898,89190,taio,SC
df91910b6a03bb2e3358fa6a35e32f6f,9560,sao paulo,SP
da2782c804606d2a5d8e1760dbb3e7ec,2022,sao paulo,SP
a61cc04793308395a840807104365121,13240,jarinu,SP
49e7217cfe4e427191c378ec626d8737,35570,formiga,MG
05feb94f19d094d4b0f9281f0b1d4c99,8752,mogi das cruzes,SP
134b867a0f7f8bbe6abf10f91874891e,13272,valinhos,SP
3b15288545f8928d3e65a8f949a28291,14940,ibitinga,SP
128f9bfbe4c7d5185033914b1de3d39a,12940,atibaia,SP
4e922959ae960d389249c378d1c939f5,12327,jacarei,SP
20a8b0dc55da94fe74d112082427c84f,13312,itu,SP
a70e9066dbfd10b6b97a3f54a1356762,86975,mandaguari,PR
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP
cd233f8bfa30ebfd651f47ee7d054951,16208,birigui,SP
b127efdabeffb5d559349c7b172eb75d,4308,sao paulo,SP
bf3c6d2a28b2b5501e6c15448982dcc9,4180,sao paulo,SP
c54679b132454625907c773d273d4126,11443,guaruja,SP
33ab10be054370c254ddfcf0a6253422,22790,rio de janeiro,RJ
557f22c76691849db52d2abccf0015d0,75650,morrinhos,GO
ab27bbbad5239bc31a34709275a70db4,18279,tatui,SP
c5e60e39c0f42b8e827daa13cff74afa,3449,sao paulo,SP
fc5a0d7a310a7a41abf86a458585ff2b,3655,sao paulo,SP
3338e7a0710a195872be80e0d2423867,13403,piracicaba,SP
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
12a8eb0f8d1cd3270695bf2a99f55966,4607,sao paulo,SP
a369d693961cb93b61ca2cc518872a85,15081,sao jose do rio preto,SP
71271995e85f5b8530be99ed54a91b89,91360,porto alegre,RS
2bf28e311bba65237358230cabac3f15,86047,londrina,PR
249f0e9905a6e06ad6c6bea7547ab9f6,20950,rio de janeiro,RJ
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
2fb25ab44bdbeae6a4d816e0d0c9d500,27274,volta redonda,RJ
340636a908b13bbe0f4fb63fbe1d0c03,12240,sao jose dos campos,SP
54c04bdb5ec46762f8f08c7e8f86ed4a,88037,florianopolis,SC
f783a638e9c6af4a7d0dbfde811e7a81,3063,sao paulo,SP
c35affa65afd250151285c5917fc1c8a,8050,sao paluo,SP
e883aa812c37a7413226856f4579fe91,6696,itapevi,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
d9e8c084b68fe958861d8f2c21202e6b,5528,sao paulo,SP
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP
d101c6da914ae3d53f7bee42283f2fe2,8072,sao paulo,SP
f5403d3f50089112c4eed37928b7f622,15600,fernandopolis,SP
